,id,valeur_NO2,valeur_CO,valeur_O3,valeur_PM10,valeur_PM25,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,is_holiday_zone_c,is_public_holiday,is_weekend,month,hour,month_sin,month_cos,hour_sin,hour_cos
0,2022-06-01 00:00:00,16.4,0.148,67.4,10.2,4.1,16.8,11.3,21.8,0.0,0.0,337.0,8.9,31.0,1016.6,False,False,False,6,0,1.2246467991473532e-16,-1.0,0.0,1.0
1,2022-06-01 01:00:00,12.3,0.14,71.9,15.7,5.2,16.8,11.3,21.8,0.0,0.0,337.0,8.9,31.0,1016.6,False,False,False,6,1,1.2246467991473532e-16,-1.0,0.25881904510252074,0.9659258262890683
2,2022-06-01 02:00:00,12.1,0.14,69.2,8.4,3.5,16.8,11.3,21.8,0.0,0.0,337.0,8.9,31.0,1016.6,False,False,False,6,2,1.2246467991473532e-16,-1.0,0.49999999999999994,0.8660254037844387
3,2022-06-01 03:00:00,24.9,0.155,51.0,11.8,4.9,16.8,11.3,21.8,0.0,0.0,337.0,8.9,31.0,1016.6,False,False,False,6,3,1.2246467991473532e-16,-1.0,0.7071067811865475,0.7071067811865476
4,2022-06-01 04:00:00,35.2,0.19,38.2,16.0,5.8,16.8,11.3,21.8,0.0,0.0,337.0,8.9,31.0,1016.6,False,False,False,6,4,1.2246467991473532e-16,-1.0,0.8660254037844386,0.5000000000000001
5,2022-06-01 05:00:00,45.1,0.211,32.9,25.1,7.1,16.8,11.3,21.8,0.0,0.0,337.0,8.9,31.0,1016.6,False,False,False,6,5,1.2246467991473532e-16,-1.0,0.9659258262890683,0.25881904510252074
6,2022-06-01 06:00:00,29.3,0.177,57.4,22.1,6.2,16.8,11.3,21.8,0.0,0.0,337.0,8.9,31.0,1016.6,False,False,False,6,6,1.2246467991473532e-16,-1.0,1.0,6.123233995736766e-17
7,2022-06-01 07:00:00,23.1,0.182,63.9,8.584709660831477,6.5,16.8,11.3,21.8,0.0,0.0,337.0,8.9,31.0,1016.6,False,False,False,6,7,1.2246467991473532e-16,-1.0,0.9659258262890683,-0.25881904510252063
8,2022-06-01 08:00:00,21.1,0.164,71.0,15.188735353755344,6.8,16.8,11.3,21.8,0.0,0.0,337.0,8.9,31.0,1016.6,False,False,False,6,8,1.2246467991473532e-16,-1.0,0.8660254037844388,-0.4999999999999998
9,2022-06-01 09:00:00,18.73213163931356,0.151,78.8,9.801663973211811,7.7,16.8,11.3,21.8,0.0,0.0,337.0,8.9,31.0,1016.6,False,False,False,6,9,1.2246467991473532e-16,-1.0,0.7071067811865476,-0.7071067811865475
10,2022-06-01 10:00:00,10.0,0.146,86.7,14.179209592846776,7.2,16.8,11.3,21.8,0.0,0.0,337.0,8.9,31.0,1016.6,False,False,False,6,10,1.2246467991473532e-16,-1.0,0.49999999999999994,-0.8660254037844387
11,2022-06-01 11:00:00,7.8,0.144,89.2,31.379086193608664,7.6,16.8,11.3,21.8,0.0,0.0,337.0,8.9,31.0,1016.6,False,False,False,6,11,1.2246467991473532e-16,-1.0,0.258819045102521,-0.9659258262890682
12,2022-06-01 12:00:00,8.0,0.14,92.2,13.102021153099397,10.3,16.8,11.3,21.8,0.0,0.0,337.0,8.9,31.0,1016.6,False,False,False,6,12,1.2246467991473532e-16,-1.0,1.2246467991473532e-16,-1.0
13,2022-06-01 13:00:00,8.6,0.144,96.3,9.246941345618012,9.2,16.8,11.3,21.8,0.0,0.0,337.0,8.9,31.0,1016.6,False,False,False,6,13,1.2246467991473532e-16,-1.0,-0.2588190451025208,-0.9659258262890683
14,2022-06-01 14:00:00,8.6,0.14,96.7,8.10614513855765,8.4,16.8,11.3,21.8,0.0,0.0,337.0,8.9,31.0,1016.6,False,False,False,6,14,1.2246467991473532e-16,-1.0,-0.4999999999999998,-0.8660254037844388
15,2022-06-01 15:00:00,8.5,0.145,96.1,4.05187939101706,6.9,16.8,11.3,21.8,0.0,0.0,337.0,8.9,31.0,1016.6,False,False,False,6,15,1.2246467991473532e-16,-1.0,-0.7071067811865471,-0.7071067811865479
16,2022-06-01 16:00:00,8.1,0.152,94.4,8.324332359167506,7.9,16.8,11.3,21.8,0.0,0.0,337.0,8.9,31.0,1016.6,False,False,False,6,16,1.2246467991473532e-16,-1.0,-0.8660254037844384,-0.5000000000000004
17,2022-06-01 17:00:00,9.2,0.161,93.7,19.17735420227274,7.4,16.8,11.3,21.8,0.0,0.0,337.0,8.9,31.0,1016.6,False,False,False,6,17,1.2246467991473532e-16,-1.0,-0.9659258262890683,-0.25881904510252063
